male,educ_raw,cohort,rel_cohort,cell_N,gender_cohort_N,education_share
0,0,1992,-5,1,3714,.0002692514808831
0,1,1992,-5,3,3714,.0008077544426494
0,2,1992,-5,45,3714,.0121163166397415
0,3,1992,-5,536,3714,.1443187937533656
0,4,1992,-5,921,3714,.2479806138933764
0,5,1992,-5,2026,3714,.5455035002692514
0,6,1992,-5,167,3714,.0449649973074852
0,7,1992,-5,15,3714,.0040387722132472
1,0,1992,-5,2,3714,.0005385029617663
1,1,1992,-5,8,3714,.0021540118470652
1,2,1992,-5,19,3714,.0051157781367798
1,3,1992,-5,733,3714,.1973613354873452
1,4,1992,-5,918,3714,.247172859450727
1,5,1992,-5,1927,3714,.5188476036618201
1,6,1992,-5,89,3714,.0239633817985999
1,7,1992,-5,18,3714,.0048465266558966
0,1,1993,-4,2,3815,.000524246395806
0,2,1993,-4,27,3815,.0070773263433814
0,3,1993,-4,536,3815,.1404980340760157
0,4,1993,-4,991,3815,.2597640891218873
0,5,1993,-4,2081,3815,.545478374836173
0,6,1993,-4,165,3815,.0432503276539974
0,7,1993,-4,13,3815,.0034076015727392
1,2,1993,-4,25,3844,.0065036420395421
1,3,1993,-4,723,3844,.1880853277835588
1,4,1993,-4,859,3844,.2234651404786681
1,5,1993,-4,2096,3844,.5452653485952134
1,6,1993,-4,114,3844,.0296566077003122
1,7,1993,-4,27,3844,.0070239334027055
0,1,1994,-3,1,3617,.0002764722145424
0,2,1994,-3,27,3617,.0074647497926458
0,3,1994,-3,585,3617,.1617362455073265
0,4,1994,-3,982,3617,.2714957146806746
0,5,1994,-3,1874,3617,.5181089300525297
0,6,1994,-3,134,3617,.0370472767486868
0,7,1994,-3,14,3617,.0038706110035941
1,0,1994,-3,1,3623,.0002760143527463
1,1,1994,-3,2,3623,.0005520287054927
1,2,1994,-3,26,3623,.0071763731714049
1,3,1994,-3,765,3623,.2111509798509522
1,4,1994,-3,884,3623,.243996687827767
1,5,1994,-3,1856,3623,.5122826386972122
1,6,1994,-3,79,3623,.0218051338669611
1,7,1994,-3,10,3623,.0027601435274634
0,0,1995,-2,2,3680,.0005434782608696
0,1,1995,-2,3,3680,.0008152173913043
0,2,1995,-2,33,3680,.0089673913043478
0,3,1995,-2,649,3680,.1763586956521739
0,4,1995,-2,926,3680,.2516304347826087
0,5,1995,-2,1961,3680,.5328804347826087
0,6,1995,-2,103,3680,.0279891304347826
0,7,1995,-2,3,3680,.0008152173913043
1,0,1995,-2,1,3347,.0002987750224081
1,2,1995,-2,23,3347,.0068718255153869
1,3,1995,-2,743,3347,.2219898416492381
1,4,1995,-2,818,3347,.2443979683298476
1,5,1995,-2,1670,3347,.4989542874215716
1,6,1995,-2,87,3347,.025993426949507
1,7,1995,-2,5,3347,.0014938751120406
0,0,1996,-1,5,3577,.0013978194017333
0,1,1996,-1,2,3577,.0005591277606933
0,2,1996,-1,18,3577,.0050321498462399
0,3,1996,-1,612,3577,.1710930947721554
0,4,1996,-1,912,3577,.2549622588761532
0,5,1996,-1,1963,3577,.548783897120492
0,6,1996,-1,63,3577,.0176125244618395
0,7,1996,-1,2,3577,.0005591277606933
1,1,1996,-1,2,3361,.0005950609937519
1,2,1996,-1,41,3361,.0121987503719131
1,3,1996,-1,768,3361,.2285034216007141
1,4,1996,-1,715,3361,.2127343052662898
1,5,1996,-1,1781,3361,.5299018149360309
1,6,1996,-1,42,3361,.0124962808687891
1,7,1996,-1,12,3361,.0035703659625112
0,1,1997,0,2,3595,.0005563282336579
0,2,1997,0,22,3595,.0061196105702364
0,3,1997,0,752,3595,.2091794158553547
0,4,1997,0,853,3595,.2372739916550765
0,5,1997,0,1903,3595,.529346314325452
0,6,1997,0,63,3595,.0175243393602225
1,0,1997,0,1,3189,.0003135779241141
1,1,1997,0,1,3189,.0003135779241141
1,2,1997,0,29,3189,.0090937597993101
1,3,1997,0,993,3189,.3113828786453434
1,4,1997,0,647,3189,.2028849169018501
1,5,1997,0,1488,3189,.4666039510818438
1,6,1997,0,28,3189,.008780181875196
1,7,1997,0,2,3189,.0006271558482283
0,1,1998,1,1,3151,.000317359568391
0,2,1998,1,16,3151,.0050777530942558
0,3,1998,1,762,3151,.2418279911139321
0,4,1998,1,591,3151,.1875595049190733
0,5,1998,1,1726,3151,.5477626150428435
0,6,1998,1,53,3151,.0168200571247223
0,7,1998,1,2,3151,.000634719136782
1,0,1998,1,1,2842,.0003518648838846
1,1,1998,1,2,2842,.0007037297677692
1,2,1998,1,17,2842,.005981703026038
1,3,1998,1,922,2842,.3244194229415904
1,4,1998,1,509,2842,.1790992258972555
1,5,1998,1,1370,2842,.482054890921886
1,6,1998,1,19,2842,.0066854327938072
1,7,1998,1,2,2842,.0007037297677692
0,1,1999,2,1,2703,.0003699593044765
0,2,1999,2,12,2703,.0044395116537181
0,3,1999,2,609,2703,.2253052164261931
0,4,1999,2,572,2703,.2116167221605623
0,5,1999,2,1475,2703,.5456899741028487
0,6,1999,2,26,2703,.0096189419163892
0,7,1999,2,8,2703,.0029596744358121
1,0,1999,2,1,2468,.0004051863857374
1,1,1999,2,1,2468,.0004051863857374
1,2,1999,2,11,2468,.0044570502431118
1,3,1999,2,808,2468,.3273905996758509
1,4,1999,2,442,2468,.1790923824959481
1,5,1999,2,1179,2468,.4777147487844409
1,6,1999,2,23,2468,.0093192868719611
1,7,1999,2,3,2468,.0012155591572123
0,1,2000,3,2,2636,.0007587253414264
0,2,2000,3,12,2636,.0045523520485584
0,3,2000,3,579,2636,.2196509863429439
0,4,2000,3,534,2636,.2025796661608498
0,5,2000,3,1486,2636,.5637329286798179
0,6,2000,3,22,2636,.0083459787556904
0,7,2000,3,1,2636,.0003793626707132
1,2,2000,3,13,2179,.0059660394676457
1,3,2000,3,713,2179,.3272143184947223
1,4,2000,3,416,2179,.1909132629646627
1,5,2000,3,1025,2179,.4703992657182194
1,6,2000,3,10,2179,.0045892611289582
1,7,2000,3,2,2179,.0009178522257916
0,2,2001,4,7,1884,.0037154989384289
0,3,2001,4,500,1884,.2653927813163482
0,4,2001,4,325,1884,.1725053078556263
0,5,2001,4,1039,1884,.5514861995753716
0,6,2001,4,13,1884,.0069002123142251
1,1,2001,4,2,1744,.0011467889908257
1,2,2001,4,4,1744,.0022935779816514
1,3,2001,4,568,1744,.3256880733944954
1,4,2001,4,302,1744,.1731651376146789
1,5,2001,4,866,1744,.4965596330275229
1,6,2001,4,2,1744,.0011467889908257
0,2,2002,5,4,1358,.0029455081001473
0,3,2002,5,380,1358,.2798232695139912
0,4,2002,5,192,1358,.1413843888070692
0,5,2002,5,780,1358,.5743740795287187
0,6,2002,5,2,1358,.0014727540500736
1,2,2002,5,6,1175,.0051063829787234
1,3,2002,5,454,1175,.3863829787234043
1,4,2002,5,190,1175,.1617021276595745
1,5,2002,5,525,1175,.4468085106382979
