male,cohort,rel_cohort,raw_employment,N
0,1992,-5,.68255252,3714
1,1992,-5,.69332254,3714
0,1993,-4,.66317171,3815
1,1993,-4,.6436004,3844
0,1994,-3,.63726848,3617
1,1994,-3,.6091637,3623
0,1995,-2,.60108697,3680
1,1995,-2,.56468481,3347
0,1996,-1,.55605257,3577
1,1996,-1,.51978576,3361
0,1997,0,.49151599,3595
1,1997,0,.43932268,3189
0,1998,1,.47286576,3151
1,1998,1,.4229416,2842
0,1999,2,.44506106,2703
1,1999,2,.38411668,2468
0,2000,3,.38922611,2636
1,2000,3,.32354292,2179
0,2001,4,.35828024,1884
1,2001,4,.27752292,1744
0,2002,5,.33652431,1358
1,2002,5,.28,1175
