cohort,rel_cohort,male,adjusted_employment,adjusted_se,adjusted_lb,adjusted_ub
1992,-5,0,.7248439056440554,.0038007703,.71637523,.73331255
1992,-5,1,.713176547678871,.0017847414,.70919991,.71715319
1993,-4,0,.6995026788896509,.0035792741,.69152755,.70747781
1993,-4,1,.6648275146885982,.0019806316,.6604144,.66924065
1994,-3,0,.6692844340163042,.0031466698,.66227323,.67629564
1994,-3,1,.612723969937639,.0010863674,.6103034,.61514455
1995,-2,0,.6326708204201963,.002812475,.62640423,.63893741
1995,-2,1,.5698630745869636,.0010428579,.56753945,.57218671
1996,-1,0,.5894180767535313,.0030511213,.58261973,.59621638
1996,-1,1,.5329331855699895,.001708287,.52912688,.53673947
1997,0,0,.514573214346593,.0021382771,.50980884,.51933759
1997,0,1,.4482985007402698,.0019715151,.44390568,.45269132
1998,1,0,.4783265536518584,.0020738218,.4737058,.48294732
1998,1,1,.4089892081129047,.0026444513,.403097,.41488141
1999,2,0,.4196060734870258,.0025522788,.41391924,.42529291
1999,2,1,.3495496809416105,.0037955667,.34109265,.35800672
2000,3,0,.3433791096245631,.0039899559,.33448893,.35226929
2000,3,1,.2556261717045224,.0062180441,.2417715,.26948082
2001,4,0,.2853086957402502,.0065248241,.27077049,.29984692
2001,4,1,.1976826429559093,.0076859538,.18055727,.21480802
2002,5,0,.2321121924975055,.0098901438,.21007557,.25414881
2002,5,1,.1741245937938998,.010723972,.15023009,.19801909
