cohort,rel_cohort,raw_female,raw_male,raw_gap,standardized_female,standardized_male,standardized_gap,composition_gap,N_female,N_male,standardized_female_se,standardized_female_lb,standardized_female_ub,standardized_male_se,standardized_male_lb,standardized_male_ub
1992,-5,.68255252,.69332254,.0107700228691101,.7248439056440554,.713176547678871,-.0116673579651845,.0224373808342946,3714,3714,.0038007703,.71637523,.73331255,.0017847414,.70919991,.71715319
1993,-4,.66317171,.6436004,-.0195713043212891,.6995026788896509,.6648275146885982,-.0346751642010527,.0151038598797636,3815,3844,.0035792741,.69152755,.70747781,.0019806316,.6604144,.66924065
1994,-3,.63726848,.6091637,-.0281047821044922,.6692844340163042,.612723969937639,-.0565604640786652,.028455681974173,3617,3623,.0031466698,.66227323,.67629564,.0010863674,.6103034,.61514455
1995,-2,.60108697,.56468481,-.03640216588974,.6326708204201963,.5698630745869636,-.0628077458332327,.0264055799434927,3680,3347,.002812475,.62640423,.63893741,.0010428579,.56753945,.57218671
1996,-1,.55605257,.51978576,-.0362668037414551,.5894180767535313,.5329331855699895,-.0564848911835418,.0202180874420868,3577,3361,.0030511213,.58261973,.59621638,.001708287,.52912688,.53673947
1997,0,.49151599,.43932268,-.0521933138370514,.514573214346593,.4482985007402698,-.0662747136063232,.0140813997692718,3595,3189,.0021382771,.50980884,.51933759,.0019715151,.44390568,.45269132
1998,1,.47286576,.4229416,-.0499241650104523,.4783265536518584,.4089892081129047,-.0693373455389537,.0194131805285014,3151,2842,.0020738218,.4737058,.48294732,.0026444513,.403097,.41488141
1999,2,.44506106,.38411668,-.0609443783760071,.4196060734870258,.3495496809416105,-.0700563925454153,.0091120141694082,2703,2468,.0025522788,.41391924,.42529291,.0037955667,.34109265,.35800672
2000,3,.38922611,.32354292,-.0656831860542297,.3433791096245631,.2556261717045224,-.0877529379200407,.022069751865811,2636,2179,.0039899559,.33448893,.35226929,.0062180441,.2417715,.26948082
2001,4,.35828024,.27752292,-.0807573199272156,.2853086957402502,.1976826429559093,-.0876260527843409,.0068687328571253,1884,1744,.0065248241,.27077049,.29984692,.0076859538,.18055727,.21480802
2002,5,.33652431,.28,-.0565243065357208,.2321121924975055,.1741245937938998,-.0579875987036057,.0014632921678849,1358,1175,.0098901438,.21007557,.25414881,.010723972,.15023009,.19801909
