outcome,enlist_age,rel_cohort,beta,se,lb,ub
employed,19,-6,.0546073556381655,.0014673016,.051731497,.057483215
employed,19,-5,.0315995494022967,.0019492647,.027779061,.035420038
employed,19,-4,.0097142495246838,.0024533721,.0049057286,.01452277
employed,19,-3,.0034669677701136,.0023356595,-.0011108405,.0080447756
employed,19,-2,.0097898224169208,.0018120621,.0062382459,.013341399
employed,19,-1,0,0,0,0
employed,19,0,-.0030626319355981,.0013595965,-.0057273922,-.00039787171
employed,19,1,-.0037816789420634,.0023438032,-.0083754491,.00081209105
employed,19,2,-.0214782243166904,.0021900882,-.025770718,-.017185731
employed,19,3,-.02135133918099,.0021636914,-.025592096,-.017110582
employed,19,4,.0082871148997476,.001965306,.0044351858,.012139044
