outcome,enlist_age,rel_cohort,beta,se,lb,ub
qoe_income_deprivation50,19,-6,.0396252118405484,.0038490961,.032081123,.047169302
qoe_income_deprivation50,19,-5,.0385499800801753,.0027839232,.03309359,.04400637
qoe_income_deprivation50,19,-4,.0318104889038549,.0030446444,.025843095,.037777882
qoe_income_deprivation50,19,-3,.0089138323109658,.0025108689,.0039926199,.013835045
qoe_income_deprivation50,19,-2,.0215776442969145,.0023979996,.016877651,.026277637
qoe_income_deprivation50,19,-1,0,0,0,0
qoe_income_deprivation50,19,0,.0096011434945011,.002372331,.0049514603,.014250827
qoe_income_deprivation50,19,1,-.0633121200304195,.0027571945,-.068716124,-.057908118
qoe_income_deprivation50,19,2,-.0072780264839184,.0031289042,-.013410565,-.0011454871
qoe_income_deprivation50,19,3,-.0644505291420753,.0040824804,-.072452046,-.056449015
qoe_income_deprivation50,19,4,-.0564020359108488,.0022364685,-.060785435,-.052018639
