outcome,enlist_age,rel_cohort,beta,se,lb,ub
qoe_conditions_deprivation,20,-5,.0127835241621882,.0026445864,.0076002302,.017966818
qoe_conditions_deprivation,20,-4,-.0271498582395057,.0013207692,-.029738517,-.024561198
qoe_conditions_deprivation,20,-3,.0012088183753992,.00099845266,-.00074811286,.0031657496
qoe_conditions_deprivation,20,-2,-.0016087024069688,.0011697544,-.003901379,.00068397413
qoe_conditions_deprivation,20,-1,0,0,0,0
qoe_conditions_deprivation,20,0,-.0392613172574449,.0018017978,-.042792775,-.035729859
qoe_conditions_deprivation,20,1,-.0266087759047106,.00057395519,-.027733708,-.025483845
qoe_conditions_deprivation,20,2,-.0698977320761308,.0024168841,-.074634738,-.065160729
qoe_conditions_deprivation,20,3,-.0377706180760711,.0036616987,-.044947416,-.03059382
qoe_conditions_deprivation,20,4,-.0523767837728212,.0010186783,-.054373357,-.050380211
qoe_conditions_deprivation,20,5,-.0395371499281283,.0022437302,-.043934781,-.03513952
