outcome,enlist_age,rel_cohort,beta,se,lb,ub
qoe_stability_deprivation,20,-5,.0075919489709146,.0020624255,.0035496694,.011634229
qoe_stability_deprivation,20,-4,-.0164866888582619,.0010268627,-.018499304,-.014474075
qoe_stability_deprivation,20,-3,.0151938067309972,.00057086279,.014074937,.016312677
qoe_stability_deprivation,20,-2,-.0083875133383216,.0005543463,-.0094740121,-.0073010144
qoe_stability_deprivation,20,-1,0,0,0,0
qoe_stability_deprivation,20,0,-.0182195797868678,.0022715109,-.022671659,-.0137675
qoe_stability_deprivation,20,1,-.0003556737493612,.00081749668,-.0019579378,.0012465904
qoe_stability_deprivation,20,2,-.0464782511474911,.0029431998,-.052246816,-.040709686
qoe_stability_deprivation,20,3,-.0006730347238277,.0044428064,-.0093807755,.0080347061
qoe_stability_deprivation,20,4,-.0101353308898978,.001687823,-.013443403,-.0068272585
qoe_stability_deprivation,20,5,-.08061602005979,.0022512949,-.085028477,-.076203562
