outcome,enlist_age,rel_cohort,beta,se,lb,ub
qoe_deprivation_score50,21,-4,.0203610228026792,.0019046526,.016627973,.024094073
qoe_deprivation_score50,21,-3,-.001334727861069,.00042848531,-.0021745437,-.00049491209
qoe_deprivation_score50,21,-2,.0164318324815495,.00035424379,.015737528,.017126137
qoe_deprivation_score50,21,-1,0,0,0,0
qoe_deprivation_score50,21,0,.0075533425769924,.00097504794,.0056422837,.0094644018
qoe_deprivation_score50,21,1,-.0187995045366456,.0020405466,-.022798901,-.014800107
qoe_deprivation_score50,21,2,-.0054269742417218,.0014301169,-.0082299514,-.0026239967
qoe_deprivation_score50,21,3,-.0595352399398693,.0033422653,-.066085957,-.052984521
qoe_deprivation_score50,21,4,-.0148797652831383,.0044855159,-.023671214,-.006088316
qoe_deprivation_score50,21,5,-.0419600867901389,.0026359372,-.047126427,-.036793746
qoe_deprivation_score50,21,6,-.0584909408214692,.002810529,-.063999474,-.052982405
