specification,enlist_age,outcome,beta,se,wild_p,N,r2
DiD,19,qoe_conditions_deprivation,-.0359718081498529,.011537993,.010742188,31311,.10992838
DiD,20,qoe_conditions_deprivation,-.0402424354546395,.0087821195,.001953125,31311,.10933634
DiD,21,qoe_conditions_deprivation,-.0303418279582195,.011235803,.036132813,31311,.10523438
DiD,19,qoe_deprivation_score50,-.0346392726343936,.013144061,.0087890625,31311,.18376902
DiD,20,qoe_deprivation_score50,-.0369160587913664,.0094951428,.0009765625,31311,.18509789
DiD,21,qoe_deprivation_score50,-.0308245714663867,.0094781807,.0068359375,31311,.1738995
DiD,19,qoe_income_deprivation50,-.052092677139537,.017734844,.00390625,31311,.15522933
DiD,20,qoe_income_deprivation50,-.0508454715139989,.013629342,.0009765625,31311,.15644631
DiD,21,qoe_income_deprivation50,-.0450947090625271,.012734747,.0048828125,31311,.14427906
DiD,19,qoe_multidim_deprived50,-.0392615508771813,.022760732,.12597656,31311,.14410557
DiD,20,qoe_multidim_deprived50,-.0475631724061054,.017222328,.029296875,31311,.14712396
DiD,21,qoe_multidim_deprived50,-.039627788459485,.016468408,.033203125,31311,.1406395
DiD,19,qoe_stability_deprivation,-.0158533326137504,.013563807,.28515625,31311,.11838932
DiD,20,qoe_stability_deprivation,-.0196602694053613,.010568689,.083007813,31311,.12033719
DiD,21,qoe_stability_deprivation,-.0170371773783579,.0099224281,.10644531,31311,.11477038
Intensity,19,qoe_conditions_deprivation,-.0154754787687443,.0051354473,.014648438,31311,.11806031
Intensity,20,qoe_conditions_deprivation,-.0162423855328099,.0045076516,.0048828125,31311,.12182332
Intensity,21,qoe_conditions_deprivation,-.0159895192135151,.0036501714,.005859375,31311,.12191806
Intensity,19,qoe_deprivation_score50,-.0158197549709054,.0051711528,.012695313,31311,.20407425
Intensity,20,qoe_deprivation_score50,-.0155894892348563,.005149941,.00390625,31311,.21438736
Intensity,21,qoe_deprivation_score50,-.0157109831045569,.0038713503,0,31311,.21561207
Intensity,19,qoe_income_deprivation50,-.0250304426700664,.0065013734,.0048828125,31311,.17562671
Intensity,20,qoe_income_deprivation50,-.0232369895591425,.0068679838,.001953125,31311,.18327729
Intensity,21,qoe_income_deprivation50,-.0229122677279184,.0051403269,0,31311,.18304619
Intensity,19,qoe_multidim_deprived50,-.0201467408405036,.0083568906,.051757813,31311,.1572358
Intensity,20,qoe_multidim_deprived50,-.0196079289579497,.0081315171,.03125,31311,.16618116
Intensity,21,qoe_multidim_deprived50,-.0197909694633618,.0068942839,.024414063,31311,.16905816
Intensity,19,qoe_stability_deprivation,-.0069533434739656,.0069148885,.38964844,31311,.12909979
Intensity,20,qoe_stability_deprivation,-.0072890926126739,.005971319,.27050781,31311,.13741311
Intensity,21,qoe_stability_deprivation,-.008231162372393,.0047882563,.16210938,31311,.13977838
