outcome,rel_cohort,beta,se,lb,ub
employed,-5,.0448175332183575,.015350881,.014729806,.074905261
employed,-4,.0218097269824892,.015343407,-.0082633505,.051882803
employed,-3,-.0000755728951234,.015532485,-.030519245,.030368099
employed,-2,-.0063228546496908,.015653146,-.037003022,.024357313
employed,-1,0,0,0,0
employed,0,-.0097898224227814,.015807362,-.040772256,.02119261
employed,1,-.0128524543554118,.016306484,-.044813164,.019108254
employed,2,-.0135715013618734,.016973842,-.046840232,.019697228
employed,3,-.0312680467364988,.017124202,-.06483148,.0022953881
employed,4,-.0311411616007989,.018310102,-.067028962,.0047466392
employed,5,-.0015027075200638,.020861579,-.042391401,.039385986
