outcome,rel_cohort,beta,cluster_se,wild_p,wild_lb95,wild_ub95,wild_ci_pieces
employed,-5,.0448175332183575,.0011519241,.45507813,-2.0215347,1.3573922,1
employed,-4,.0218097269824892,.0014626627,.40136719,-3.473253,2.4477735,1
employed,-3,-.0000755728951234,.0017291909,.9765625,-2.6690609,1.597917,1
employed,-2,-.0063228546496908,.00096760457,.2109375,-2.8677771,1.7591028,1
employed,-1,0,,,,,0
employed,0,-.0097898224227814,.0018120621,.24121094,-2.2738376,3.1545799,1
employed,1,-.0128524543554118,.0020634169,.13476563,-1.633471,1.9574848,1
employed,2,-.0135715013618734,.0019447167,.19335938,-1.4991331,1.6586846,1
employed,3,-.0312680467364988,.0014352245,.25585938,-1.2039725,1.1136197,1
employed,4,-.0311411616007989,.0017579938,.36914063,-2.9115844,2.215941,1
employed,5,-.0015027075200638,.0021071264,.50390625,-3.0855372,2.9026372,1
