outcome,rel_cohort,beta,se,lb,ub
entry_age,-5,-.100455257250686,.007979149,-.11609439,-.084816128
entry_age,-4,-.0609225161453848,.0045475163,-.069835648,-.052009385
entry_age,-3,-.0669604581201044,.0035187425,-.073857196,-.060063723
entry_age,-2,-.1199496889967857,.0047405553,-.12924118,-.1106582
entry_age,-1,0,0,0,0
entry_age,0,-.2439592666605964,.00569179,-.25511518,-.23280336
entry_age,1,-.2411699898674793,.0036295771,-.24828397,-.23405603
entry_age,2,-.383861534882657,.016708205,-.41660962,-.35111347
entry_age,3,-.2580819925894059,.011068242,-.27977574,-.23638824
entry_age,4,-.3327191241630028,.0086901905,-.34975189,-.31568635
entry_age,5,-.3152132920056071,.011030077,-.33683226,-.29359433
