outcome,rel_cohort,beta,cluster_se,wild_p,wild_lb95,wild_ub95,wild_ci_pieces
entry_age,-5,-.1004552572506399,.007979149,.38378906,-9.6167736,4.1548591,1
entry_age,-4,-.0609225161453406,.0045475163,.390625,-15.687637,7.4421344,1
entry_age,-3,-.0669604581200667,.0035187425,.47070313,-10.220627,5.430665,1
entry_age,-2,-.1199496889967479,.0047405553,.47851563,-14.953776,16.089075,1
entry_age,-1,0,,,,,0
entry_age,0,-.2439592666605872,.00569179,.30078125,-15.742928,12.695574,1
entry_age,1,-.2411699898674526,.0036295771,.32128906,-7.6019058,6.3872828,1
entry_age,2,-.3838615348826269,.016708205,.32128906,-16.68339,15.209264,1
entry_age,3,-.2580819925893698,.011068242,.29003906,-10.667292,13.897094,1
entry_age,4,-.3327191241629698,.0086901905,.46679688,-27.910463,26.173321,1
entry_age,5,-.3152132920055734,.011030077,.41601563,-19.377621,18.685902,1
