outcome,industry_type,rel_cohort,beta,se,lb,ub
entry_age,femaleind,-5,-.0892242851069686,.14923559,-.38172606,.20327748
entry_age,femaleind,-4,-.1846609247256924,.13384122,-.44698972,.077667855
entry_age,femaleind,-3,.0009740817598921,.12443005,-.24290882,.24485698
entry_age,femaleind,-2,-.170454239071078,.12392528,-.41334778,.072439313
entry_age,femaleind,-1,0,0,0,0
entry_age,femaleind,0,-.2135333765403516,.11210722,-.43326351,.0061967624
entry_age,femaleind,1,-.2085655851470804,.11232463,-.42872187,.011590694
entry_age,femaleind,2,-.5306134304937843,.11439423,-.75482613,-.30640075
entry_age,femaleind,3,-.3016490423857845,.11048991,-.51820928,-.085088812
entry_age,femaleind,4,-.3972034381820304,.11853784,-.62953758,-.16486926
entry_age,femaleind,5,-.4858362992811712,.12384767,-.72857773,-.24309488
