outcome,industry_type,rel_cohort,beta,se,lb,ub
entry_age,maleind,-5,-.1048861217149814,.14059335,-.38044909,.17067686
entry_age,maleind,-4,.0384448996985307,.1417212,-.23932865,.31621847
entry_age,maleind,-3,-.1871137104204909,.13914654,-.45984092,.085613504
entry_age,maleind,-2,-.086685932541363,.1342103,-.34973812,.17636627
entry_age,maleind,-1,0,0,0,0
entry_age,maleind,0,-.4288879562832116,.13567396,-.6948089,-.162967
entry_age,maleind,1,-.247725042696875,.13527828,-.51287049,.017420396
entry_age,maleind,2,-.3265972071400137,.14793445,-.61654872,-.036645673
entry_age,maleind,3,-.3937386546696833,.14491442,-.67777091,-.10970639
entry_age,maleind,4,-.6906145228532004,.17974284,-1.0429105,-.33831853
entry_age,maleind,5,-.2468267040730498,.17555884,-.590922,.097268619
