outcome,industry_type,rel_cohort,beta,se,lb,ub
largefirm,femaleind,-5,.002651780304049,.024586465,-.045537692,.050841253
largefirm,femaleind,-4,-.0011086856330135,.022845702,-.045886263,.043668892
largefirm,femaleind,-3,.0053785889189282,.022378612,-.038483493,.049240671
largefirm,femaleind,-2,-.0244993438838851,.023169111,-.069910802,.020912113
largefirm,femaleind,-1,0,0,0,0
largefirm,femaleind,0,-.0176412872601051,.023092667,-.062902912,.02762034
largefirm,femaleind,1,-.0452540197449183,.024198383,-.092682853,.0021748107
largefirm,femaleind,2,.0159399259451225,.023311216,-.029750058,.06162991
largefirm,femaleind,3,-.0386550074025733,.023967795,-.085631885,.0083218692
largefirm,femaleind,4,-.0272250816936741,.025432935,-.077073634,.022623472
largefirm,femaleind,5,-.039413601028101,.022325478,-.083171539,.0043443381
