outcome,industry_type,rel_cohort,beta,se,lb,ub
largefirm,maleind,-5,-.0009757151866096,.027519889,-.054914698,.052963268
largefirm,maleind,-4,-.0213945931941801,.027667142,-.075622194,.032833006
largefirm,maleind,-3,.0399507149037167,.027960483,-.014851832,.094753258
largefirm,maleind,-2,.0259786675584318,.028284611,-.029459169,.081416503
largefirm,maleind,-1,0,0,0,0
largefirm,maleind,0,-.0388952426630627,.032207143,-.10202124,.024230758
largefirm,maleind,1,.0271645124627922,.03263646,-.036802951,.091131978
largefirm,maleind,2,-.0389129920688581,.035929229,-.10933428,.031508293
largefirm,maleind,3,-.0289448944685944,.036232185,-.099959977,.042070184
largefirm,maleind,4,-.1410567227404753,.052747142,-.24444112,-.037672326
largefirm,maleind,5,.0414750301362347,.051634602,-.05972879,.14267886
