outcome,rel_cohort,beta,se,lb,ub
largefirm,-5,.0065316907905043,.014444681,-.021779884,.034843266
largefirm,-4,.0057410404883763,.01425542,-.022199582,.033681665
largefirm,-3,.0248157666474116,.014343792,-.0032980652,.052929599
largefirm,-2,-.0043280439082465,.014597985,-.032940093,.024284007
largefirm,-1,0,0,0,0
largefirm,0,-.0228701081663261,.015108014,-.052481815,.0067416006
largefirm,1,-.0141637322454711,.01586066,-.045250624,.016923159
largefirm,2,-.0092062520958311,.015753172,-.04008247,.021669965
largefirm,3,-.0305082081581784,.016207241,-.0622744,.0012579847
largefirm,4,-.0366549355706658,.017804325,-.071551412,-.0017584594
largefirm,5,-.0048530533710462,.018564342,-.041239165,.031533059
