outcome,industry_type,rel_cohort,beta,se,lb,ub
log_hourly_wage_trim,femaleind,-5,.0029655280004492,.024004016,-.044082344,.050013397
log_hourly_wage_trim,femaleind,-4,-.008024921866622,.022931779,-.05297121,.036921367
log_hourly_wage_trim,femaleind,-3,.0320420140718414,.023208285,-.013446224,.07753025
log_hourly_wage_trim,femaleind,-2,-.0023293683889416,.024362167,-.050079219,.045420479
log_hourly_wage_trim,femaleind,-1,0,0,0,0
log_hourly_wage_trim,femaleind,0,.0038245046969796,.024589485,-.044370882,.052019894
log_hourly_wage_trim,femaleind,1,-.0053571965647213,.025483752,-.055305347,.044590954
log_hourly_wage_trim,femaleind,2,.0213985909759547,.027462633,-.032428171,.075225353
log_hourly_wage_trim,femaleind,3,.0038512268391738,.028287787,-.051592838,.059295289
log_hourly_wage_trim,femaleind,4,-.0333915774504959,.03502607,-.10204268,.035259519
log_hourly_wage_trim,femaleind,5,-.0079106578663099,.03493559,-.076384418,.060563102
