outcome,industry_type,rel_cohort,beta,se,lb,ub
log_hourly_wage_trim,maleind,-5,.0055554560843567,.018144086,-.030006951,.041117862
log_hourly_wage_trim,maleind,-4,.0036557239590763,.018520506,-.032644469,.039955918
log_hourly_wage_trim,maleind,-3,-.0039482689568228,.018902345,-.040996864,.033100326
log_hourly_wage_trim,maleind,-2,-.032108365495515,.018675666,-.068712674,.0044959402
log_hourly_wage_trim,maleind,-1,0,0,0,0
log_hourly_wage_trim,maleind,0,-.0243981994650281,.021074971,-.065705143,.016908742
log_hourly_wage_trim,maleind,1,-.0097774497206478,.020897172,-.050735909,.031181008
log_hourly_wage_trim,maleind,2,-.0782861142393406,.023966661,-.12526077,-.031311456
log_hourly_wage_trim,maleind,3,-.0376651281244372,.027870573,-.092291452,.016961195
log_hourly_wage_trim,maleind,4,-.1341813313694053,.0387602,-.21015133,-.058211338
log_hourly_wage_trim,maleind,5,.0297384371022645,.03678973,-.042369436,.10184631
