outcome,rel_cohort,beta,se,lb,ub
log_hourly_wage_trim,-5,.0137036936488676,.012262527,-.010330859,.037738245
log_hourly_wage_trim,-4,.0154037994886506,.012313668,-.0087309899,.039538588
log_hourly_wage_trim,-3,.0166823874780108,.012446536,-.0077128224,.041077599
log_hourly_wage_trim,-2,-.0036020545269454,.012684932,-.028464522,.021260412
log_hourly_wage_trim,-1,0,0,0,0
log_hourly_wage_trim,0,-.0026405954355041,.013505837,-.029112035,.023830846
log_hourly_wage_trim,1,-.0103940089754834,.01399817,-.037830424,.017042404
log_hourly_wage_trim,2,-.0127126815125944,.015585947,-.043261137,.017835774
log_hourly_wage_trim,3,-.008706540307018,.016813712,-.041661419,.024248337
log_hourly_wage_trim,4,-.0450286478150496,.020652244,-.08550705,-.0045502484
log_hourly_wage_trim,5,.0061333937958971,.022643695,-.038248248,.050515037
