outcome,industry_type,rel_cohort,beta,se,lb,ub
permanent,femaleind,-5,.0085866106406127,.036274076,-.06251058,.079683803
permanent,femaleind,-4,.0630260845989361,.034061991,-.003735414,.12978758
permanent,femaleind,-3,-.0110105026646311,.034378335,-.078392044,.056371037
permanent,femaleind,-2,.0474515230878464,.034844298,-.020843297,.11574634
permanent,femaleind,-1,0,0,0,0
permanent,femaleind,0,-.0001768957322011,.033157289,-.065165184,.064811394
permanent,femaleind,1,.0339501252727313,.036571596,-.037730202,.10563045
permanent,femaleind,2,.058109202747807,.036521483,-.013472906,.12969132
permanent,femaleind,3,.0185924212135949,.036328524,-.052611489,.089796335
permanent,femaleind,4,-.0484117286433999,.036436375,-.11982702,.023003571
permanent,femaleind,5,.0826169190057227,.041749772,.00078736432,.16444647
