outcome,industry_type,rel_cohort,beta,se,lb,ub
permanent,maleind,-5,-.01882404547983,.027819835,-.073350921,.035702832
permanent,maleind,-4,.0193530188287785,.028394414,-.036300033,.075006068
permanent,maleind,-3,-.0635981759459232,.028933706,-.12030824,-.0068881139
permanent,maleind,-2,-.0243736971091618,.030162929,-.083493039,.034745641
permanent,maleind,-1,0,0,0,0
permanent,maleind,0,-.0176035969054633,.033890292,-.084028572,.048821375
permanent,maleind,1,-.0226959759072049,.0354774,-.092231676,.046839725
permanent,maleind,2,-.0219057288510425,.040703818,-.10168521,.057873756
permanent,maleind,3,-.0959984955905712,.046596888,-.1873284,-.0046685939
permanent,maleind,4,-.1114683560820699,.061875176,-.2327437,.0098069888
permanent,maleind,5,.0471263560805594,.067246675,-.08467713,.17892985
