outcome,rel_cohort,beta,se,lb,ub
permanent,-5,-.0223506779464453,.018374523,-.058364745,.013663388
permanent,-4,.0340127433948531,.018351106,-.0019554237,.069980912
permanent,-3,-.0321497002154626,.018760517,-.068920314,.0046209125
permanent,-2,.0032787661925807,.019339785,-.03462721,.041184746
permanent,-1,0,0,0,0
permanent,0,-.0207165354797357,.020056657,-.060027584,.018594511
permanent,1,-.010349005734283,.021378621,-.052251104,.031553093
permanent,2,.0203888810920188,.022576712,-.023861473,.064639233
permanent,3,-.0325189642378804,.02397576,-.079511449,.014473523
permanent,4,-.0514803940544983,.025348879,-.1011642,-.0017965893
permanent,5,.0549008904869066,.029385807,-.0026952913,.11249707
