outcome_group,outcome,outcome_label,specification,omitted_cohort,full_beta,beta,cluster_se,webb_p,delta,pct_change,sign_flip,N,N_clusters,outcome_order,spec_order
Entry,entry_age,Current-job entry age,Binary DiD,1992,-.2393446996624616,-.2127424,.045121569,.00140014,.026602302,11.11464,0,27234,10,1,1
Entry,entry_age,Current-job entry age,Binary DiD,1993,-.2393446996624616,-.24477951,.054755758,.00160016,-.005434812,-2.270705,0,27271,10,1,1
Entry,entry_age,Current-job entry age,Binary DiD,1994,-.2393446996624616,-.25792715,.048078906,.00130013,-.01858245,-7.763886,0,27690,10,1,1
Entry,entry_age,Current-job entry age,Binary DiD,1995,-.2393446996624616,-.24755187,.053650547,.0010001,-.0082071749,-3.429019,0,28055,10,1,1
Entry,entry_age,Current-job entry age,Binary DiD,1996,-.2393446996624616,-.21953914,.042148259,.0010001,.019805564,8.2749128,0,28357,10,1,1
Entry,entry_age,Current-job entry age,Binary DiD,1997,-.2393446996624616,-.26591125,.051843621,.0032003201,-.026566552,-11.099704,0,28880,10,1,1
Entry,entry_age,Current-job entry age,Binary DiD,1998,-.2393446996624616,-.2506524,.058558039,.0039003901,-.011307715,-4.7244477,0,29339,10,1,1
Entry,entry_age,Current-job entry age,Binary DiD,1999,-.2393446996624616,-.20092206,.031518675,.00220022,.03842264,16.053267,0,29836,10,1,1
Entry,entry_age,Current-job entry age,Binary DiD,2000,-.2393446996624616,-.25072119,.047789123,.0035003501,-.011376481,-4.7531786,0,30204,10,1,1
Entry,entry_age,Current-job entry age,Binary DiD,2001,-.2393446996624616,-.23670176,.049555432,.0029002901,.0026429358,1.1042383,0,30761,10,1,1
Entry,entry_age,Current-job entry age,Binary DiD,2002,-.2393446996624616,-.24112278,.049175505,.00250025,-.001778088,-.74289846,0,31113,10,1,1
Entry,entry_age,Current-job entry age,Intensity,1992,-.1333282823448085,-.11637767,.018168392,.00220022,.016950611,12.71344,0,27234,10,1,2
Entry,entry_age,Current-job entry age,Intensity,1993,-.1333282823448085,-.1310109,.025162958,.0033003301,.0023173774,1.7380989,0,27271,10,1,2
Entry,entry_age,Current-job entry age,Intensity,1994,-.1333282823448085,-.13840331,.02248705,.0041004103,-.0050750258,-3.8064134,0,27690,10,1,2
Entry,entry_age,Current-job entry age,Intensity,1995,-.1333282823448085,-.13892856,.019568661,.00080008002,-.0056002866,-4.2003741,0,28055,10,1,2
Entry,entry_age,Current-job entry age,Intensity,1996,-.1333282823448085,-.12927544,.019186128,.0010001,.004052843,3.0397475,0,28357,10,1,2
Entry,entry_age,Current-job entry age,Intensity,1997,-.1333282823448085,-.12662245,.017885866,.00250025,.0067058224,5.0295572,0,28880,10,1,2
Entry,entry_age,Current-job entry age,Intensity,1998,-.1333282823448085,-.13030475,.021044903,.0045004501,.0030235315,2.2677345,0,29339,10,1,2
Entry,entry_age,Current-job entry age,Intensity,1999,-.1333282823448085,-.12677087,.021771153,.00620062,.0065574138,4.9182467,0,29836,10,1,2
Entry,entry_age,Current-job entry age,Intensity,2000,-.1333282823448085,-.14357431,.02178986,.0021002099,-.010246028,-7.6848121,0,30204,10,1,2
Entry,entry_age,Current-job entry age,Intensity,2001,-.1333282823448085,-.13858938,.024297962,.0046004602,-.005261098,-3.9459732,0,30761,10,1,2
Entry,entry_age,Current-job entry age,Intensity,2002,-.1333282823448085,-.139476,.024666533,.0048004799,-.0061477209,-4.6109653,0,31113,10,1,2
Entry,employed,Employed,Binary DiD,1992,-.0322639086369412,-.023932757,.0074701011,.0026002601,.0083311507,25.82189,0,57788,10,2,1
Entry,employed,Employed,Binary DiD,1993,-.0322639086369412,-.030478183,.012456846,.0070007001,.0017857264,5.534749,0,57557,10,2,1
Entry,employed,Employed,Binary DiD,1994,-.0322639086369412,-.03579988,.011369015,.0085008498,-.0035359722,-10.959529,0,57976,10,2,1
Entry,employed,Employed,Binary DiD,1995,-.0322639086369412,-.03631464,.010497283,.00370037,-.0040507303,-12.554989,0,58189,10,2,1
Entry,employed,Employed,Binary DiD,1996,-.0322639086369412,-.034629691,.010925598,.0070007001,-.0023657836,-7.3326006,0,58278,10,2,1
Entry,employed,Employed,Binary DiD,1997,-.0322639086369412,-.034039557,.010348322,.01350135,-.0017756497,-5.5035172,0,58432,10,2,1
