outcome_group,outcome,outcome_label,specification,full_beta,min_beta,max_beta,max_abs_pct_change,sign_flips,most_influential_cohort,min_webb_p,max_webb_p,outcome_order,spec_order
Entry,entry_age,Current-job entry age,Binary DiD,-.2393446996624616,-.26591125,-.20092206,16.05326652526855,0,1999,.0010001,.0039003901,1,1
Entry,entry_age,Current-job entry age,Intensity,-.1333282823448085,-.14357431,-.11637767,12.71343994140625,0,1992,.00080008002,.00620062,1,2
Entry,employed,Employed,Binary DiD,-.0322639086369412,-.03631464,-.023932757,25.82188987731934,0,1992,.0026002601,.017701769,2,1
Entry,employed,Employed,Intensity,-.0135266333481863,-.015371928,-.010058234,25.64125442504883,0,1992,.0110011,.04570457,2,2
QoE,qoe_deprivation_score50,QoE deprivation score,Binary DiD,-.0369160587913664,-.044501558,-.031685781,20.5479621887207,0,1998,.00050005002,.0057005701,3,1
QoE,qoe_deprivation_score50,QoE deprivation score,Intensity,-.0155894892348563,-.020991921,-.01228297,34.65431976318359,0,2000,.0018001801,.01350135,3,2
QoE,qoe_multidim_deprived50,Multidimensional deprivation,Binary DiD,-.0475631724061054,-.062854305,-.038719587,32.14909744262695,0,1998,.0023002301,.054205421,4,1
QoE,qoe_multidim_deprived50,Multidimensional deprivation,Intensity,-.0196079289579497,-.02722517,-.015237623,38.8477668762207,0,2000,.01110111,.058505852,4,2
QoE,qoe_income_deprivation50,Income deprivation,Binary DiD,-.0508454715139989,-.060640201,-.0437892,19.26372337341309,0,1998,.00120012,.0040004002,5,1
QoE,qoe_income_deprivation50,Income deprivation,Intensity,-.0232369895591425,-.030772453,-.019125141,32.42874145507813,0,2000,.0018001801,.0084008398,5,2
QoE,qoe_stability_deprivation,Stability deprivation,Binary DiD,-.0196602694053613,-.026876736,-.013414508,36.70584487915039,0,1998,.041404139,.17361736,6,1
QoE,qoe_stability_deprivation,Stability deprivation,Intensity,-.0072890926126739,-.012402554,-.0042880573,70.15222930908203,0,2000,.15311532,.54175419,6,2
QoE,qoe_conditions_deprivation,Conditions deprivation,Binary DiD,-.0402424354546395,-.04603814,-.035541654,14.40197467803955,0,1993,.0010001,.0064006401,7,1
QoE,qoe_conditions_deprivation,Conditions deprivation,Intensity,-.0162423855328099,-.019800756,-.013266011,21.90793037414551,0,2000,.0047004703,.01410141,7,2
