rel_cohort,beta,se,lb,ub,wild_pretrend_p
-5,.0445100029028453,.0019314047,.040724449,.048295557,.4931640625
-4,-.0019962064961333,.0025866041,-.0070659504,.0030735377,.4931640625
-3,-.0215812856520636,.0029713279,-.027405089,-.015757482,.4931640625
-2,-.0098793365625953,.0021786881,-.014149565,-.0056091081,.4931640625
-1,0,0,0,0,.4931640625
0,-.0019369419783689,.0023885046,-.0066184113,.0027445273,.4931640625
1,.0553933030105511,.0061262883,.043385778,.067400828,.4931640625
2,.0531186335336791,.0065820985,.04021772,.06601955,.4931640625
3,.0568652075580485,.0082873115,.040622078,.073108338,.4931640625
4,.071415835021042,.0046811742,.062240735,.080590934,.4931640625
5,.0835734571247518,.0040138862,.075706244,.09144067,.4931640625
