rel_cohort,beta,se,lb,ub,wild_pretrend_p
-5,.0325505135724892,.0013027687,.029997086,.035103939,.619140625
-4,.0040138049702314,.0019225496,.00024560787,.007782002,.619140625
-3,-.0160619813610978,.0025996517,-.021157298,-.010966664,.619140625
-2,-.007043637384499,.0018940888,-.010756051,-.0033312233,.619140625
-1,0,0,0,0,.619140625
0,-.0011475741856844,.0019217819,-.0049142665,.0026191184,.619140625
1,.0324475197840744,.0048486623,.022944141,.041950896,.619140625
2,.0544566632906505,.0051805964,.044302694,.06461063,.619140625
3,.0626459580891184,.0066510481,.049609903,.075682014,.619140625
4,.0677183407871172,.0040460173,.059788145,.075648531,.619140625
5,.0835431111272962,.0036909718,.076308809,.09077742,.619140625
