rel_cohort,beta,se,lb,ub,wild_pretrend_p
-5,.0415596263105706,.0010393845,.039522432,.043596819,.2734375
-4,.0112250054683872,.0014383913,.008405759,.014044252,.2734375
-3,-.0123414370726722,.0022604065,-.016771834,-.0079110404,.2734375
-2,-.0146493941454098,.0012894701,-.017176755,-.012122032,.2734375
-1,0,0,0,0,.2734375
0,-.013553988433126,.0014813603,-.016457455,-.010650522,.2734375
1,-.0037804810028271,.0025249079,-.0087293005,.0011683383,.2734375
2,-.0083120349902178,.003239668,-.014661784,-.0019622857,.2734375
3,-.0010359869186676,.0029827312,-.0068821399,.0048101661,.2734375
4,-.010295578845608,.0033141824,-.016791375,-.0037997814,.2734375
5,.0067853205119152,.0028862087,.0011283515,.01244229,.2734375
