rel_cohort,beta,se,lb,ub,wild_pretrend_p
-5,.047590202371548,.00099086459,.045648109,.049532298,.1416015625
-4,.0147927575127961,.0014226347,.012004393,.017581122,.1416015625
-3,.0009588216392255,.0016756061,-.0023253663,.0042430097,.1416015625
-2,-.0078273041443043,.0012062792,-.010191611,-.0054629971,.1416015625
-1,0,0,0,0,.1416015625
0,-.0118085486271921,.0011516408,-.014065765,-.0095513323,.1416015625
1,-.0089483199382911,.0021483444,-.013159075,-.0047375648,.1416015625
2,-.0078341698344572,.002830823,-.013382583,-.0022857569,.1416015625
3,-.0031604431769029,.0026533045,-.0083609195,.0020400335,.1416015625
4,-.0125888468469919,.003586876,-.019619124,-.0055585704,.1416015625
5,.0122856056559933,.0031790147,.0060547371,.018516473,.1416015625
