rel_cohort,beta,se,lb,ub,wild_pretrend_p
-5,5.885623893114648,.17810759,5.5365329,6.234715,.8837890625
-4,2.718912957664092,.1761477,2.3736634,3.0641625,.8837890625
-3,1.106354377649242,.08569143,.9383992,1.2743096,.8837890625
-2,-.7213191518212605,.099468328,-.91627705,-.52636123,.8837890625
-1,0,0,0,0,.8837890625
0,-4.181908858710325,.15104267,-4.4779525,-3.8858652,.8837890625
1,-3.298559786695651,.33923942,-3.963469,-2.6336505,.8837890625
2,-6.241110759661323,.30646545,-6.841783,-5.6404386,.8837890625
3,-2.112946919068304,.33548039,-2.7704885,-1.4554054,.8837890625
4,-4.496932186688575,.45325714,-5.3853164,-3.6085482,.8837890625
5,-5.119755074767086,.57669348,-6.2500744,-3.9894359,.8837890625
