rel_cohort,beta,se,lb,ub,wild_pretrend_p
-5,5.551601132745325,.25356349,5.0546165,6.0485854,.61328125
-4,2.142851168055018,.25726372,1.6386143,2.6470881,.61328125
-3,.2400873028167624,.090370856,.062960431,.41721418,.61328125
-2,-1.575408918297875,.17861435,-1.925493,-1.2253247,.61328125
-1,0,0,0,0,.61328125
0,-3.749545632456402,.16881411,-4.0804214,-3.4186699,.61328125
1,-3.83571633292603,.45921502,-4.7357779,-2.9356549,.61328125
2,-5.502195910641202,.33717498,-6.1630588,-4.8413329,.61328125
3,-3.188315026000736,.40121964,-3.9747055,-2.4019246,.61328125
4,-5.11684902323422,.50909632,-6.1146779,-4.1190205,.61328125
5,-6.918199420019544,.64782411,-8.1879349,-5.6484642,.61328125
