rel_cohort,beta,se,lb,ub,wild_pretrend_p
-5,4.895754067013045,.0531145,4.7916498,4.9998584,.5712890625
-4,1.433348295670347,.06476479,1.3064094,1.5602872,.5712890625
-3,2.947916753784844,.068542734,2.8135729,3.0822606,.5712890625
-2,.0549254506949885,.065919757,-.074277267,.18412817,.5712890625
-1,0,0,0,0,.5712890625
0,-1.377347581194588,.040238403,-1.4562149,-1.2984803,.5712890625
1,-2.538469530744357,.081271261,-2.6977613,-2.3791778,.5712890625
2,-.7612932088938772,.11974346,-.9959904,-.52659601,.5712890625
3,-3.465262605829231,.19454065,-3.8465624,-3.0839629,.5712890625
4,-5.851350147190177,.1142671,-6.0753136,-5.6273866,.5712890625
5,-5.415185809800578,.07888782,-5.5698061,-5.2605658,.5712890625
