rel_cohort,beta,se,lb,ub,wild_pretrend_p
-5,2.358471858459453,.073419884,2.2145689,2.5023749,.8095703125
-4,1.786941792226203,.07090807,1.647962,1.9259216,.8095703125
-3,1.720656793607628,.061582264,1.5999556,1.8413581,.8095703125
-2,-1.139316027573735,.041982368,-1.2216015,-1.0570306,.8095703125
-1,0,0,0,0,.8095703125
0,-1.419997706015882,.034748811,-1.4881054,-1.3518901,.8095703125
1,-2.557408871321714,.065493643,-2.6857765,-2.4290414,.8095703125
2,-4.156651804986267,.13990697,-4.4308696,-3.8824341,.8095703125
3,-2.207854830440383,.15918493,-2.5198574,-1.8958523,.8095703125
4,-6.359869703598908,.092476457,-6.5411234,-6.178616,.8095703125
5,-2.834375903025462,.083904646,-2.9988291,-2.6699228,.8095703125
