rel_cohort,beta,se,lb,ub,wild_pretrend_p
-5,1.110392762995358,.11999567,.87520123,1.3455843,.2646484375
-4,.0233355762003895,.10099964,-.17462371,.22129487,.2646484375
-3,1.148418603365953,.08455646,.98268795,1.3141493,.2646484375
-2,.5414107139951782,.074312687,.39575785,.68706357,.2646484375
-1,0,0,0,0,.2646484375
0,-.2096643420184478,.051213957,-.31004369,-.10928498,.2646484375
1,.884923803135009,.046186287,.79439867,.97544891,.2646484375
2,.3547190822499507,.083813667,.19044429,.51899385,.2646484375
3,-1.671731369683499,.11063218,-1.8885704,-1.4548923,.2646484375
4,-.8972788274874895,.084478423,-1.0628566,-.73170114,.2646484375
5,-3.389981422950021,.056794778,-3.5012991,-3.2786636,.2646484375
