outcome,rel_cohort,beta,se,lb,ub,wild_p
qoe_conditions_deprivation,-5,.0127835241623899,.0026445864,.0076001352,.017966913,.11035156
qoe_conditions_deprivation,-4,-.0271498582393033,.0013207692,-.029738566,-.02456115,.45800781
qoe_conditions_deprivation,-3,.0012088183756042,.00099845266,-.00074814883,.0031657857,.53710938
qoe_conditions_deprivation,-2,-.0016087024067696,.0011697544,-.0039014211,.00068401627,.21289063
qoe_conditions_deprivation,-1,0,0,0,0,
qoe_conditions_deprivation,0,-.0392613172572407,.0018017978,-.042792842,-.035729792,.32519531
qoe_conditions_deprivation,1,-.0266087759045009,.00057395519,-.027733728,-.025483824,.296875
qoe_conditions_deprivation,2,-.0698977320759177,.0024168841,-.074634828,-.06516064,.22851563
qoe_conditions_deprivation,3,-.0377706180758672,.0036616987,-.044947546,-.03059369,.25
qoe_conditions_deprivation,4,-.0523767837726144,.0010186783,-.054373395,-.050380174,.33398438
qoe_conditions_deprivation,5,-.0395371499279239,.0022437302,-.043934863,-.035139438,.22363281
