outcome,rel_cohort,beta,se,lb,ub,wild_p
qoe_income_deprivation50,-5,.0180475675436231,.0039586024,.0092272516,.026867883,.16699219
qoe_income_deprivation50,-4,.0169723357832498,.0018581526,.012832114,.021112558,.43359375
qoe_income_deprivation50,-3,.0102328446069292,.0013609981,.0072003519,.013265338,.39453125
qoe_income_deprivation50,-2,-.0126638119859608,.0013544983,-.015681822,-.009645802,.32324219
qoe_income_deprivation50,-1,0,0,0,0,
qoe_income_deprivation50,0,-.0215776442969409,.0023979996,-.026920721,-.016234567,.24511719
qoe_income_deprivation50,1,-.0119765008024235,.00071676413,-.013573551,-.01037945,.3671875
qoe_income_deprivation50,2,-.0848897643273435,.003392566,-.092448875,-.077330656,.27929688
qoe_income_deprivation50,3,-.0288556707808443,.0053243921,-.040719155,-.016992187,.18066406
qoe_income_deprivation50,4,-.0860281734390008,.0027138973,-.092075117,-.07998123,.43847656
qoe_income_deprivation50,5,-.0779796802077752,.003095499,-.08487688,-.07108248,.23242188
