outcome,rel_cohort,beta,se,lb,ub,wild_p
qoe_deprivation_score50,-5,.0128076802256843,.0028477591,.0072260723,.018389288,.11523438
qoe_deprivation_score50,-4,-.0088880704380634,.0013601478,-.01155396,-.0062221806,.27636719
qoe_deprivation_score50,-3,.0088784899045496,.00091354502,.0070879417,.010669039,.39453125
qoe_deprivation_score50,-2,-.0075533425769814,.00097504794,-.0094644362,-.0056422488,.35546875
qoe_deprivation_score50,-1,0,0,0,0,
qoe_deprivation_score50,0,-.0263528471136408,.0021174564,-.030503063,-.022202633,.28125
qoe_deprivation_score50,1,-.0129803168187256,.00059521769,-.014146944,-.01181369,.34570313
qoe_deprivation_score50,2,-.0670885825168765,.0028037874,-.072584003,-.06159316,.27929688
qoe_deprivation_score50,3,-.0224331078601344,.0044164024,-.031089256,-.01377696,.18945313
qoe_deprivation_score50,4,-.0495134293671343,.0017245851,-.052893616,-.046133243,.42871094
qoe_deprivation_score50,5,-.0660442833984646,.0024127983,-.070773371,-.061315197,.23535156
