outcome,rel_cohort,beta,se,lb,ub,wild_p
qoe_stability_deprivation,-5,.0075919489709146,.0020624255,.0029965788,.012187319,.12109375
qoe_stability_deprivation,-4,-.0164866888582619,.0010268627,-.018774681,-.014198696,.45605469
qoe_stability_deprivation,-3,.0151938067309972,.00057086279,.013921845,.016465768,.36132813
qoe_stability_deprivation,-2,-.0083875133383216,.0005543463,-.0096226735,-.0071523529,.37695313
qoe_stability_deprivation,-1,0,0,0,0,
qoe_stability_deprivation,0,-.0182195797868678,.0022715109,-.023280822,-.013158338,.25683594
qoe_stability_deprivation,1,-.0003556737493612,.00081749668,-.00217717,.0014658225,.65332031
qoe_stability_deprivation,2,-.0464782511474911,.0029431998,-.053036109,-.039920393,.30957031
qoe_stability_deprivation,3,-.0006730347238277,.0044428064,-.010572225,.0092261555,.87207031
qoe_stability_deprivation,4,-.0101353308898978,.001687823,-.013896035,-.0063746269,.29785156
qoe_stability_deprivation,5,-.08061602005979,.0022512949,-.08563222,-.075599819,.30957031
