outcome,rel_cohort,beta,cluster_se,lb,ub
occ_qoe_income_adjusted,-5,-.0004686868779993,.0007822247,-.0020018192,.0010644454
occ_qoe_income_adjusted,-4,-.0010618880274945,.00041861658,-.0018823614,-.00024141463
occ_qoe_income_adjusted,-3,.0020107541579832,.00030831259,.0014064726,.0026150357
occ_qoe_income_adjusted,-2,-.0057430940673238,.00031045562,-.0063515757,-.0051346123
occ_qoe_income_adjusted,-1,0,0,0,0
occ_qoe_income_adjusted,0,-.0175134733890461,.00047232551,-.018439215,-.016587732
occ_qoe_income_adjusted,1,-.0132326417545444,.00030230256,-.013825144,-.01264014
occ_qoe_income_adjusted,2,-.0180618837719465,.00079578359,-.01962159,-.016502177
occ_qoe_income_adjusted,3,-.0241824369163951,.00099981704,-.026142042,-.022222832
occ_qoe_income_adjusted,4,-.039962042996485,.00069487502,-.041323975,-.038600113
occ_qoe_income_adjusted,5,-.0190115478729102,.00076550408,-.020511908,-.017511187
