outcome,rel_cohort,beta,cluster_se,lb,ub
occ_qoe_score_adjusted,-5,-.0017286144070166,.00076516857,-.0032283172,-.00022891152
occ_qoe_score_adjusted,-4,-.0012833185940048,.0004120456,-.002090913,-.00047572408
occ_qoe_score_adjusted,-3,.0015100683039412,.00029359755,.00093462766,.002085509
occ_qoe_score_adjusted,-2,-.0057126528783305,.0003105475,-.0063213147,-.0051039909
occ_qoe_score_adjusted,-1,0,0,0,0
occ_qoe_score_adjusted,0,-.0204994272939825,.00049119716,-.021462156,-.019536698
occ_qoe_score_adjusted,1,-.0139414732501564,.00030695752,-.014543099,-.013339847
occ_qoe_score_adjusted,2,-.0198826153593569,.00081362366,-.021477288,-.018287942
occ_qoe_score_adjusted,3,-.0252466776740109,.0010647007,-.027333453,-.023159903
occ_qoe_score_adjusted,4,-.0442429929362297,.0007221839,-.045658447,-.042827539
occ_qoe_score_adjusted,5,-.0228084182065617,.00078808935,-.024353044,-.021263791
