outcome,rel_cohort,beta,cluster_se,lb,ub
industry_wage_raw,-5,.0039857825920367,.001110231,.0018097698,.0061617955
industry_wage_raw,-4,.0067784847375097,.00067871559,.0054482268,.0081087425
industry_wage_raw,-3,.0074579833774152,.00042143813,.0066319797,.0082839867
industry_wage_raw,-2,.0146300300798558,.00052723702,.013596664,.015663397
industry_wage_raw,-1,0,0,0,0
industry_wage_raw,0,.0178446891375924,.00075833785,.016358374,.019331004
industry_wage_raw,1,.0098811143618757,.00059077609,.0087232143,.011039014
industry_wage_raw,2,.0124539040966515,.001198097,.010105677,.014802131
industry_wage_raw,3,.0277877080446082,.0017534518,.024351006,.031224411
industry_wage_raw,4,.0518259957563576,.0009430864,.049977582,.053674411
industry_wage_raw,5,.0212716120039521,.0013329551,.018659068,.023884157
