outcome,rel_cohort,beta,cluster_se,lb,ub
occupation_wage_adjusted,-5,.0010070697658084,.0010613059,-.0010730515,.0030871911
occupation_wage_adjusted,-4,-.0015743455180894,.00057921599,-.002709588,-.00043910299
occupation_wage_adjusted,-3,-.0020923993417539,.00045591246,-.0029859713,-.0011988273
occupation_wage_adjusted,-2,.0045488015032331,.00043575114,.003694745,.0054028579
occupation_wage_adjusted,-1,0,0,0,0
occupation_wage_adjusted,0,.0233884509752854,.00062209478,.022169167,.024607735
occupation_wage_adjusted,1,.0153051057365933,.00042148962,.014479001,.016131211
occupation_wage_adjusted,2,.0240415375333252,.0010930471,.021899205,.02618387
occupation_wage_adjusted,3,.027610205475378,.0013534108,.024957569,.030262843
occupation_wage_adjusted,4,.0523646497302699,.00094642967,.05050968,.054219618
occupation_wage_adjusted,5,.0250570293487501,.0010665898,.022966553,.027147507
