outcome,rel_cohort,beta,cluster_se,lb,ub
occupation_wage_raw,-5,.0049144591677785,.0015340232,.0019078291,.0079210894
occupation_wage_raw,-4,-.0004888560372062,.00084169087,-.0021385399,.0011608277
occupation_wage_raw,-3,-.0024887125402991,.00064854772,-.0037598426,-.0012175824
occupation_wage_raw,-2,.0038462269225674,.00061907421,.0026328638,.0050595901
occupation_wage_raw,-1,0,0,0,0
occupation_wage_raw,0,.0356455188276737,.0009685331,.03374723,.037543807
occupation_wage_raw,1,.0206927804394666,.0005732312,.019569268,.021816293
occupation_wage_raw,2,.0382300609488198,.001654697,.034986913,.041473206
occupation_wage_raw,3,.043015809468577,.0021680952,.038766421,.047265198
occupation_wage_raw,4,.0856711943748993,.0013955821,.082935907,.088406488
occupation_wage_raw,5,.0437764889959223,.0016046561,.040631421,.046921559
