outcome,specification,specification_label,female_change,female_se,female_p,female_wild_p,male_change,male_se,male_p,male_wild_p,relative_change,relative_se,relative_p,relative_wild_p,N
Adjusted QoE conditions,1,Baseline: education and year FE,.0706040347765325,.011738357,.00012952657,0,.044570517,.0096794534,.00097316387,.0009765625,-.026033517,.0041036061,.000084159285,0,31874
Adjusted QoE conditions,2,Add age FE,.0108278490782524,.0027320997,.0026725868,.0029296875,-.01067839,.0021545908,.0005733227,.0068359375,-.021506239,.004246545,.00048881408,0,31874
Adjusted QoE conditions,3,Ages 22-23: common tenure sample,.0410505158991494,.0088025238,.00088957063,.16601563,.015233324,.008757852,.11259541,.33691406,-.025817191,.0081362706,.0099352105,.005859375,5781
Adjusted QoE conditions,4,Ages 22-23: add current-job tenure,.0375976743132833,.0082926573,.0010849317,.18164063,.013008179,.0087275486,.16695118,.44921875,-.024589496,.0074723032,.0081396801,.0048828125,5781
Adjusted QoE income,1,Baseline: education and year FE,.0602880606537184,.010268845,.00015709049,0,.041409023,.0086919786,.00076386752,.0009765625,-.018879035,.0032408866,.00016711924,0,31874
Adjusted QoE income,2,Add age FE,.0066695325375282,.0022471345,.014093543,.034179688,-.0081603238,.0016017116,.00046759579,.0029296875,-.014829856,.0033648429,.0013199729,0,31874
Adjusted QoE income,3,Ages 22-23: common tenure sample,.0378441919480884,.0059570642,.000083214742,.10058594,.016335377,.0064986735,.030719966,.22265625,-.021508815,.007549291,.017276216,.012695313,5781
Adjusted QoE income,4,Ages 22-23: add current-job tenure,.0346891097433897,.0054990263,.000088141373,.099609375,.01430212,.0065156138,.052881908,.265625,-.02038699,.007021965,.0157439,.010742188,5781
Adjusted QoE score,1,Baseline: education and year FE,.062323924328537,.010412059,.00013464614,0,.041718222,.0088982238,.00085654506,.0009765625,-.020605704,.0035744859,.00018149416,0,31874
Adjusted QoE score,2,Add age FE,.0081891863890183,.0023526708,.0059132408,.018554688,-.0083494447,.0017579036,.00078063493,.0068359375,-.016538631,.0036994088,.0011962835,0,31874
Adjusted QoE score,3,Ages 22-23: common tenure sample,.0365336662924839,.0078643495,.00091432384,.16308594,.013793059,.0079111541,.11185119,.32617188,-.022740608,.0074458085,.012165299,.0078125,5781
Adjusted QoE score,4,Ages 22-23: add current-job tenure,.0332620960533585,.0073962724,.0011481635,.17578125,.011684733,.0079078805,.17030199,.44628906,-.021577364,.0068362118,.010222308,.0068359375,5781
Adjusted QoE stability,1,Baseline: education and year FE,.0560796764499009,.0092331804,.00011978472,0,.039175119,.0083571961,.00085756677,.0009765625,-.016904557,.0034964392,.00068683067,0,31874
Adjusted QoE stability,2,Add age FE,.0070701775975702,.0022134234,.0095851291,.030273438,-.0062096189,.0017517862,.0053146495,.017578125,-.013279797,.0036003287,.00418723,.0029296875,31874
Adjusted QoE stability,3,Ages 22-23: common tenure sample,.0307062889820805,.0089618312,.0064781327,.24609375,.0098104738,.0088400301,.29306814,.64355469,-.020895816,.0068882206,.012600373,.014648438,5781
Adjusted QoE stability,4,Ages 22-23: add current-job tenure,.0274995020267581,.0085305218,.0091183987,.26171875,.007743896,.0088513428,.40216112,.73339844,-.019755606,.0062647108,.010272107,.0078125,5781
Adjusted occupation wage,1,Baseline: education and year FE,-.0790642955871458,.013382358,.00014941837,0,-.054148819,.011575119,.00087010843,.0009765625,.024915475,.0042523784,.00015961264,0,31874
Adjusted occupation wage,2,Add age FE,-.0092918781954601,.0030372667,.012059087,.03125,.010013102,.0022699984,.0013122507,.009765625,.01930498,.0044643809,.0015031184,0,31874
Adjusted occupation wage,3,Ages 22-23: common tenure sample,-.0503242731211856,.0087550059,.00018566048,.12890625,-.019939037,.0091644311,.054641329,.24121094,.030385235,.0089698508,.0069150142,.00390625,5781
Adjusted occupation wage,4,Ages 22-23: add current-job tenure,-.0461821621758535,.0081834765,.00021441761,.13574219,-.017269701,.0092227207,.090632237,.30175781,.02891246,.0082398001,.0056422078,.00390625,5781
