industry_code,industry_wage_raw,industry_wage_adjusted,industry_pre_n
"Agriculture, forestry and fishing",-.0895380656010997,-.1382728836742268,89
Mining,.3496111141686163,.2415032692673314,19
Manufacturing,.2425505130379154,.1242720187853401,5984
"Utilities, water and waste",.3679528357161244,.1695265960593831,224
Construction,.150086466146684,.0950458115369537,1289
Wholesale and retail,-.0499331579161989,-.1142823261358563,3693
Accommodation and food,-.3188189692723069,-.3074125148188808,2345
Transport and storage,.136186969818501,.0528161799340444,760
Information and communications,.317384040219908,.1547411545784657,1258
Finance and insurance,.3861024638452255,.1789146073883011,1110
Real estate and business services,.2048105385923118,.0710472556795311,3030
Public administration and defence,.3150117123781063,.0474899613842275,1229
Education,.1748746513605343,-.0397235887486457,2440
Health and social work,.0758019491497486,-.0330701030664404,2851
"Arts, personal, household and international services",-.1136744989522555,-.1870043518617369,1433
